Date,Open,High,Low,Close,Volume
2024-01-01T09:30:00,200.0,204.61,199.52,201.18,3849584
2024-01-01T10:30:00,201.18,204.11,200.71,204.02,4961839
2024-01-01T11:30:00,204.02,204.19,202.53,204.19,4769106
2024-01-01T12:30:00,204.19,211.55,201.89,207.12,1831731
2024-01-01T13:30:00,207.12,210.95,205.67,209.99,3141004
2024-01-01T14:30:00,209.99,215.32,209.12,212.19,2790815
2024-01-01T15:30:00,212.19,216.08,210.24,214.14,4369560
2024-01-01T16:30:00,214.14,214.32,212.2,212.71,3195034
2024-01-01T17:30:00,212.71,218.67,212.57,215.71,2634106
2024-01-01T18:30:00,215.71,217.21,212.82,215.84,3680975
2024-01-01T19:30:00,215.84,223.71,215.11,223.26,3439348
2024-01-01T20:30:00,223.26,224.84,222.84,224.28,3305692
2024-01-01T21:30:00,224.28,231.52,224.15,231.39,4506535
2024-01-01T22:30:00,231.39,233.75,230.26,233.06,2919029
2024-01-01T23:30:00,233.06,236.54,230.75,235.26,3052252
2024-01-02T00:30:00,235.26,237.39,229.98,233.43,3817290
2024-01-02T01:30:00,233.43,234.99,232.68,233.49,4815117
2024-01-02T02:30:00,233.49,236.66,229.31,230.78,1344013
2024-01-02T03:30:00,230.78,232.13,222.5,223.69,1512995
2024-01-02T04:30:00,223.69,225.18,222.06,222.51,1799536
2024-01-02T05:30:00,222.51,224.59,215.91,217.73,933092
2024-01-02T06:30:00,217.73,218.68,212.36,215.47,812194
2024-01-02T07:30:00,215.47,216.85,215.42,215.62,4805080
2024-01-02T08:30:00,215.62,218.41,215.41,218.0,1973352
2024-01-02T09:30:00,218.0,219.76,217.58,219.23,3387389
2024-01-02T10:30:00,219.23,227.93,218.3,227.06,3452436
2024-01-02T11:30:00,227.06,229.15,223.17,223.34,4722162
2024-01-02T12:30:00,223.34,227.27,221.72,223.23,3893757
2024-01-02T13:30:00,223.23,226.25,220.99,225.87,1196771
2024-01-02T14:30:00,225.87,228.5,225.34,228.36,3147382
2024-01-02T15:30:00,228.36,233.34,226.86,229.16,2294852
2024-01-02T16:30:00,229.16,230.71,223.89,225.44,4497048
2024-01-02T17:30:00,225.44,228.2,220.17,225.64,4054049
2024-01-02T18:30:00,225.64,226.15,224.08,225.73,3106354
2024-01-02T19:30:00,225.73,231.2,224.29,229.79,2186968
2024-01-02T20:30:00,229.79,230.88,227.87,230.23,4690630
2024-01-02T21:30:00,230.23,230.42,226.62,226.81,2693686
2024-01-02T22:30:00,226.81,227.0,226.05,226.16,2245418
2024-01-02T23:30:00,226.16,227.05,223.15,225.17,4032609
2024-01-03T00:30:00,225.17,227.17,223.98,225.47,3007397
2024-01-03T01:30:00,225.47,232.88,223.04,232.51,1390344
2024-01-03T02:30:00,232.51,238.67,230.66,234.06,4640869
2024-01-03T03:30:00,234.06,242.39,233.25,239.97,3998325
2024-01-03T04:30:00,239.97,245.54,235.4,243.09,2810786
2024-01-03T05:30:00,243.09,247.0,239.87,245.52,1522134
2024-01-03T06:30:00,245.52,249.38,242.77,248.63,2578570
2024-01-03T07:30:00,248.63,250.68,243.54,246.94,3539961
2024-01-03T08:30:00,246.94,249.32,243.39,244.55,880644
2024-01-03T09:30:00,244.55,247.71,244.37,247.06,3924052
2024-01-03T10:30:00,247.06,250.4,243.68,244.48,3305631
2024-01-03T11:30:00,244.48,252.49,242.95,252.27,906642
2024-01-03T12:30:00,252.27,254.52,252.19,253.94,1124973
2024-01-03T13:30:00,253.94,257.45,253.73,256.72,4479178
2024-01-03T14:30:00,256.72,259.65,256.48,259.13,2407378
2024-01-03T15:30:00,259.13,260.85,256.12,256.85,1328813
2024-01-03T16:30:00,256.85,259.85,247.26,248.09,3291679
2024-01-03T17:30:00,248.09,248.88,242.88,244.67,3078704
2024-01-03T18:30:00,244.67,244.73,235.7,235.82,749981
2024-01-03T19:30:00,235.82,239.46,235.15,238.89,690662
